subject_id,trial_id,condition,camera_used,video_path,mocap_ik_path,video_ik_path_secondary,marker_path,force_path,synced_video_present,mocap_ik_present,force_present,horizontal_flip
subject10,DJ1,symmetric,Cam4,1_raw_datasets/OpenCap/LabValidation_withVideos/subject10/VideoData/Session0/Cam4/DJ1/DJ1_syncdWithMocap.avi,1_raw_datasets/OpenCap/LabValidation_withVideos/subject10/OpenSimData/Mocap/IK/DJ1.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject10/OpenSimData/Video/OpenPose_highAccuracy/5-cameras/IK/DJ1.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject10/MarkerData/Mocap/DJ1.trc,1_raw_datasets/OpenCap/LabValidation_withVideos/subject10/ForceData/DJ1_forces.mot,True,True,True,False
subject10,DJ2,symmetric,Cam4,1_raw_datasets/OpenCap/LabValidation_withVideos/subject10/VideoData/Session0/Cam4/DJ2/DJ2_syncdWithMocap.avi,1_raw_datasets/OpenCap/LabValidation_withVideos/subject10/OpenSimData/Mocap/IK/DJ2.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject10/OpenSimData/Video/OpenPose_highAccuracy/5-cameras/IK/DJ2.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject10/MarkerData/Mocap/DJ2.trc,1_raw_datasets/OpenCap/LabValidation_withVideos/subject10/ForceData/DJ2_forces.mot,True,True,True,False
subject10,DJ3,symmetric,Cam4,1_raw_datasets/OpenCap/LabValidation_withVideos/subject10/VideoData/Session0/Cam4/DJ3/DJ3_syncdWithMocap.avi,1_raw_datasets/OpenCap/LabValidation_withVideos/subject10/OpenSimData/Mocap/IK/DJ3.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject10/OpenSimData/Video/OpenPose_highAccuracy/5-cameras/IK/DJ3.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject10/MarkerData/Mocap/DJ3.trc,1_raw_datasets/OpenCap/LabValidation_withVideos/subject10/ForceData/DJ3_forces.mot,True,True,True,False
subject10,DJAsym1,asymmetric,Cam4,1_raw_datasets/OpenCap/LabValidation_withVideos/subject10/VideoData/Session0/Cam4/DJAsym1/DJAsym1_syncdWithMocap.avi,1_raw_datasets/OpenCap/LabValidation_withVideos/subject10/OpenSimData/Mocap/IK/DJAsym1.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject10/OpenSimData/Video/OpenPose_highAccuracy/5-cameras/IK/DJAsym1.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject10/MarkerData/Mocap/DJAsym1.trc,1_raw_datasets/OpenCap/LabValidation_withVideos/subject10/ForceData/DJAsym1_forces.mot,True,True,True,False
subject10,DJAsym2,asymmetric,Cam4,1_raw_datasets/OpenCap/LabValidation_withVideos/subject10/VideoData/Session0/Cam4/DJAsym2/DJAsym2_syncdWithMocap.avi,1_raw_datasets/OpenCap/LabValidation_withVideos/subject10/OpenSimData/Mocap/IK/DJAsym2.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject10/OpenSimData/Video/OpenPose_highAccuracy/5-cameras/IK/DJAsym2.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject10/MarkerData/Mocap/DJAsym2.trc,1_raw_datasets/OpenCap/LabValidation_withVideos/subject10/ForceData/DJAsym2_forces.mot,True,True,True,False
subject10,DJAsym3,asymmetric,Cam4,1_raw_datasets/OpenCap/LabValidation_withVideos/subject10/VideoData/Session0/Cam4/DJAsym3/DJAsym3_syncdWithMocap.avi,1_raw_datasets/OpenCap/LabValidation_withVideos/subject10/OpenSimData/Mocap/IK/DJAsym3.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject10/OpenSimData/Video/OpenPose_highAccuracy/5-cameras/IK/DJAsym3.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject10/MarkerData/Mocap/DJAsym3.trc,1_raw_datasets/OpenCap/LabValidation_withVideos/subject10/ForceData/DJAsym3_forces.mot,True,True,True,False
subject11,DJ1,symmetric,Cam4,1_raw_datasets/OpenCap/LabValidation_withVideos/subject11/VideoData/Session0/Cam4/DJ1/DJ1_syncdWithMocap.avi,1_raw_datasets/OpenCap/LabValidation_withVideos/subject11/OpenSimData/Mocap/IK/DJ1.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject11/OpenSimData/Video/OpenPose_highAccuracy/5-cameras/IK/DJ1.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject11/MarkerData/Mocap/DJ1.trc,1_raw_datasets/OpenCap/LabValidation_withVideos/subject11/ForceData/DJ1_forces.mot,True,True,True,False
subject11,DJ4,symmetric,Cam4,1_raw_datasets/OpenCap/LabValidation_withVideos/subject11/VideoData/Session0/Cam4/DJ4/DJ4_syncdWithMocap.avi,1_raw_datasets/OpenCap/LabValidation_withVideos/subject11/OpenSimData/Mocap/IK/DJ4.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject11/OpenSimData/Video/OpenPose_highAccuracy/5-cameras/IK/DJ4.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject11/MarkerData/Mocap/DJ4.trc,1_raw_datasets/OpenCap/LabValidation_withVideos/subject11/ForceData/DJ4_forces.mot,True,True,True,False
subject11,DJ5,symmetric,Cam4,1_raw_datasets/OpenCap/LabValidation_withVideos/subject11/VideoData/Session0/Cam4/DJ5/DJ5_syncdWithMocap.avi,1_raw_datasets/OpenCap/LabValidation_withVideos/subject11/OpenSimData/Mocap/IK/DJ5.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject11/OpenSimData/Video/OpenPose_highAccuracy/5-cameras/IK/DJ5.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject11/MarkerData/Mocap/DJ5.trc,1_raw_datasets/OpenCap/LabValidation_withVideos/subject11/ForceData/DJ5_forces.mot,True,True,True,False
subject11,DJAsym3,asymmetric,Cam4,1_raw_datasets/OpenCap/LabValidation_withVideos/subject11/VideoData/Session0/Cam4/DJAsym3/DJAsym3_syncdWithMocap.avi,1_raw_datasets/OpenCap/LabValidation_withVideos/subject11/OpenSimData/Mocap/IK/DJAsym3.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject11/OpenSimData/Video/OpenPose_highAccuracy/5-cameras/IK/DJAsym3.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject11/MarkerData/Mocap/DJAsym3.trc,1_raw_datasets/OpenCap/LabValidation_withVideos/subject11/ForceData/DJAsym3_forces.mot,True,True,True,False
subject11,DJAsym4,asymmetric,Cam4,1_raw_datasets/OpenCap/LabValidation_withVideos/subject11/VideoData/Session0/Cam4/DJAsym4/DJAsym4_syncdWithMocap.avi,1_raw_datasets/OpenCap/LabValidation_withVideos/subject11/OpenSimData/Mocap/IK/DJAsym4.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject11/OpenSimData/Video/OpenPose_highAccuracy/5-cameras/IK/DJAsym4.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject11/MarkerData/Mocap/DJAsym4.trc,1_raw_datasets/OpenCap/LabValidation_withVideos/subject11/ForceData/DJAsym4_forces.mot,True,True,True,False
subject11,DJAsym5,asymmetric,Cam4,1_raw_datasets/OpenCap/LabValidation_withVideos/subject11/VideoData/Session0/Cam4/DJAsym5/DJAsym5_syncdWithMocap.avi,1_raw_datasets/OpenCap/LabValidation_withVideos/subject11/OpenSimData/Mocap/IK/DJAsym5.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject11/OpenSimData/Video/OpenPose_highAccuracy/5-cameras/IK/DJAsym5.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject11/MarkerData/Mocap/DJAsym5.trc,1_raw_datasets/OpenCap/LabValidation_withVideos/subject11/ForceData/DJAsym5_forces.mot,True,True,True,False
subject2,DJ1,symmetric,Cam4,1_raw_datasets/OpenCap/LabValidation_withVideos/subject2/VideoData/Session0/Cam4/DJ1/DJ1_syncdWithMocap.avi,1_raw_datasets/OpenCap/LabValidation_withVideos/subject2/OpenSimData/Mocap/IK/DJ1.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject2/OpenSimData/Video/OpenPose_highAccuracy/5-cameras/IK/DJ1.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject2/MarkerData/Mocap/DJ1.trc,1_raw_datasets/OpenCap/LabValidation_withVideos/subject2/ForceData/DJ1_forces.mot,True,True,True,False
subject2,DJ2,symmetric,Cam4,1_raw_datasets/OpenCap/LabValidation_withVideos/subject2/VideoData/Session0/Cam4/DJ2/DJ2_syncdWithMocap.avi,1_raw_datasets/OpenCap/LabValidation_withVideos/subject2/OpenSimData/Mocap/IK/DJ2.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject2/OpenSimData/Video/OpenPose_highAccuracy/5-cameras/IK/DJ2.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject2/MarkerData/Mocap/DJ2.trc,1_raw_datasets/OpenCap/LabValidation_withVideos/subject2/ForceData/DJ2_forces.mot,True,True,True,False
subject2,DJ3,symmetric,Cam4,1_raw_datasets/OpenCap/LabValidation_withVideos/subject2/VideoData/Session0/Cam4/DJ3/DJ3_syncdWithMocap.avi,1_raw_datasets/OpenCap/LabValidation_withVideos/subject2/OpenSimData/Mocap/IK/DJ3.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject2/OpenSimData/Video/OpenPose_highAccuracy/5-cameras/IK/DJ3.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject2/MarkerData/Mocap/DJ3.trc,1_raw_datasets/OpenCap/LabValidation_withVideos/subject2/ForceData/DJ3_forces.mot,True,True,True,False
subject2,DJAsym1,asymmetric,Cam4,1_raw_datasets/OpenCap/LabValidation_withVideos/subject2/VideoData/Session0/Cam4/DJAsym1/DJAsym1_syncdWithMocap.avi,1_raw_datasets/OpenCap/LabValidation_withVideos/subject2/OpenSimData/Mocap/IK/DJAsym1.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject2/OpenSimData/Video/OpenPose_highAccuracy/5-cameras/IK/DJAsym1.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject2/MarkerData/Mocap/DJAsym1.trc,1_raw_datasets/OpenCap/LabValidation_withVideos/subject2/ForceData/DJAsym1_forces.mot,True,True,True,False
subject2,DJAsym4,asymmetric,Cam4,1_raw_datasets/OpenCap/LabValidation_withVideos/subject2/VideoData/Session0/Cam4/DJAsym4/DJAsym4_syncdWithMocap.avi,1_raw_datasets/OpenCap/LabValidation_withVideos/subject2/OpenSimData/Mocap/IK/DJAsym4.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject2/OpenSimData/Video/OpenPose_highAccuracy/5-cameras/IK/DJAsym4.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject2/MarkerData/Mocap/DJAsym4.trc,1_raw_datasets/OpenCap/LabValidation_withVideos/subject2/ForceData/DJAsym4_forces.mot,True,True,True,False
subject2,DJAsym5,asymmetric,Cam4,1_raw_datasets/OpenCap/LabValidation_withVideos/subject2/VideoData/Session0/Cam4/DJAsym5/DJAsym5_syncdWithMocap.avi,1_raw_datasets/OpenCap/LabValidation_withVideos/subject2/OpenSimData/Mocap/IK/DJAsym5.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject2/OpenSimData/Video/OpenPose_highAccuracy/5-cameras/IK/DJAsym5.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject2/MarkerData/Mocap/DJAsym5.trc,1_raw_datasets/OpenCap/LabValidation_withVideos/subject2/ForceData/DJAsym5_forces.mot,True,True,True,False
subject3,DJ1,symmetric,Cam4,1_raw_datasets/OpenCap/LabValidation_withVideos/subject3/VideoData/Session0/Cam4/DJ1/DJ1_syncdWithMocap.avi,1_raw_datasets/OpenCap/LabValidation_withVideos/subject3/OpenSimData/Mocap/IK/DJ1.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject3/OpenSimData/Video/OpenPose_highAccuracy/5-cameras/IK/DJ1.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject3/MarkerData/Mocap/DJ1.trc,1_raw_datasets/OpenCap/LabValidation_withVideos/subject3/ForceData/DJ1_forces.mot,True,True,True,False
subject3,DJ2,symmetric,Cam4,1_raw_datasets/OpenCap/LabValidation_withVideos/subject3/VideoData/Session0/Cam4/DJ2/DJ2_syncdWithMocap.avi,1_raw_datasets/OpenCap/LabValidation_withVideos/subject3/OpenSimData/Mocap/IK/DJ2.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject3/OpenSimData/Video/OpenPose_highAccuracy/5-cameras/IK/DJ2.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject3/MarkerData/Mocap/DJ2.trc,1_raw_datasets/OpenCap/LabValidation_withVideos/subject3/ForceData/DJ2_forces.mot,True,True,True,False
subject3,DJ4,symmetric,Cam4,1_raw_datasets/OpenCap/LabValidation_withVideos/subject3/VideoData/Session0/Cam4/DJ4/DJ4_syncdWithMocap.avi,1_raw_datasets/OpenCap/LabValidation_withVideos/subject3/OpenSimData/Mocap/IK/DJ4.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject3/OpenSimData/Video/OpenPose_highAccuracy/5-cameras/IK/DJ4.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject3/MarkerData/Mocap/DJ4.trc,1_raw_datasets/OpenCap/LabValidation_withVideos/subject3/ForceData/DJ4_forces.mot,True,True,True,False
subject3,DJAsym1,asymmetric,Cam4,1_raw_datasets/OpenCap/LabValidation_withVideos/subject3/VideoData/Session0/Cam4/DJAsym1/DJAsym1_syncdWithMocap.avi,1_raw_datasets/OpenCap/LabValidation_withVideos/subject3/OpenSimData/Mocap/IK/DJAsym1.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject3/OpenSimData/Video/OpenPose_highAccuracy/5-cameras/IK/DJAsym1.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject3/MarkerData/Mocap/DJAsym1.trc,1_raw_datasets/OpenCap/LabValidation_withVideos/subject3/ForceData/DJAsym1_forces.mot,True,True,True,False
subject3,DJAsym2,asymmetric,Cam4,1_raw_datasets/OpenCap/LabValidation_withVideos/subject3/VideoData/Session0/Cam4/DJAsym2/DJAsym2_syncdWithMocap.avi,1_raw_datasets/OpenCap/LabValidation_withVideos/subject3/OpenSimData/Mocap/IK/DJAsym2.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject3/OpenSimData/Video/OpenPose_highAccuracy/5-cameras/IK/DJAsym2.mot,1_raw_datasets/OpenCap/LabValidation_withVideos/subject3/MarkerData/Mocap/DJAsym2.trc,1_raw_datasets/OpenCap/LabValidation_withVideos/subject3/ForceData/DJAsym2_forces.mot,True,True,True,False
